id,status,last_price_traded,total_matched,handicap,market_id,record_date
5408012,ACTIVE,2.58,0.0,0.0,1.216121598,2023-07-16 12:00
7100960,ACTIVE,1.63,0.0,0.0,1.216121598,2023-07-16 12:00
6266193,ACTIVE,2.54,0.0,0.0,1.216121644,2023-07-16 12:00
29157,ACTIVE,1.61,0.0,0.0,1.216121644,2023-07-16 12:00
29165,ACTIVE,2.46,0.0,0.0,1.216121690,2023-07-16 12:00
29164,ACTIVE,1.69,0.0,0.0,1.216121690,2023-07-16 12:00
29159,ACTIVE,2.54,0.0,0.0,1.216121746,2023-07-16 12:00
7100968,ACTIVE,1.59,0.0,0.0,1.216121746,2023-07-16 12:00
29171,ACTIVE,2.08,0.0,0.0,1.216121792,2023-07-16 12:00
29174,ACTIVE,1.93,0.0,0.0,1.216121792,2023-07-16 12:00
29177,ACTIVE,2.38,0.0,0.0,1.216121838,2023-07-16 12:00
29175,ACTIVE,1.73,0.0,0.0,1.216121838,2023-07-16 12:00
29172,ACTIVE,2.16,0.0,0.0,1.216121884,2023-07-16 12:00
29167,ACTIVE,1.86,0.0,0.0,1.216121884,2023-07-16 12:00
1033687,ACTIVE,2.7,0.0,0.0,1.216121930,2023-07-16 12:00
50291,ACTIVE,1.59,0.0,0.0,1.216121930,2023-07-16 12:00
29178,ACTIVE,1.72,0.0,0.0,1.216121976,2023-07-16 12:00
29176,ACTIVE,,0.0,0.0,1.216121976,2023-07-16 12:00
29160,ACTIVE,1.61,0.0,0.0,1.216121306,2023-07-16 18:00
7100972,ACTIVE,2.68,0.0,0.0,1.216121306,2023-07-16 18:00
29162,ACTIVE,1.51,0.0,0.0,1.216121355,2023-07-16 18:00
29179,ACTIVE,2.98,0.0,0.0,1.216121355,2023-07-16 18:00
41541473,ACTIVE,2.26,0.0,0.0,1.216121401,2023-07-16 18:00
29163,ACTIVE,1.78,0.0,0.0,1.216121401,2023-07-16 18:00
29170,ACTIVE,1.84,0.0,0.0,1.216121447,2023-07-16 18:00
1093236,ACTIVE,2.34,0.0,0.0,1.216121447,2023-07-16 18:00
29158,ACTIVE,2.3,0.0,0.0,1.216121505,2023-07-16 18:00
29166,ACTIVE,1.75,0.0,0.0,1.216121505,2023-07-16 18:00
29161,ACTIVE,1.48,0.0,0.0,1.216121552,2023-07-16 18:00
29168,ACTIVE,3.1,0.0,0.0,1.216121552,2023-07-16 18:00
29159,ACTIVE,2.56,0.0,0.0,1.216121746,2023-07-16 18:00
7100968,ACTIVE,1.64,0.0,0.0,1.216121746,2023-07-16 18:00
29171,ACTIVE,2.0,0.0,0.0,1.216121792,2023-07-16 18:00
29174,ACTIVE,1.99,0.0,0.0,1.216121792,2023-07-16 18:00
29177,ACTIVE,2.38,0.0,0.0,1.216121838,2023-07-16 18:00
29175,ACTIVE,1.7,0.0,0.0,1.216121838,2023-07-16 18:00
1033687,ACTIVE,2.64,0.0,0.0,1.216121930,2023-07-16 18:00
50291,ACTIVE,1.61,0.0,0.0,1.216121930,2023-07-16 18:00
1033687,ACTIVE,,0.0,0.0,1.216142939,2023-07-17 06:00
29166,ACTIVE,,0.0,0.0,1.216142939,2023-07-17 06:00
6266193,ACTIVE,,0.0,0.0,1.216142999,2023-07-17 06:00
50291,ACTIVE,,0.0,0.0,1.216142999,2023-07-17 06:00
29162,ACTIVE,,0.0,0.0,1.216143061,2023-07-17 06:00
29163,ACTIVE,2.1,0.0,0.0,1.216143061,2023-07-17 06:00
29178,ACTIVE,,0.0,0.0,1.216143197,2023-07-17 06:00
29167,ACTIVE,,0.0,0.0,1.216143197,2023-07-17 06:00
29171,ACTIVE,,0.0,0.0,1.216143243,2023-07-17 06:00
29157,ACTIVE,,0.0,0.0,1.216143243,2023-07-17 06:00
29160,ACTIVE,,0.0,0.0,1.216143289,2023-07-17 06:00
7100968,ACTIVE,,0.0,0.0,1.216143289,2023-07-17 06:00
29159,ACTIVE,1.87,0.0,0.0,1.216143336,2023-07-17 06:00
29179,ACTIVE,2.16,0.0,0.0,1.216143336,2023-07-17 06:00
29161,ACTIVE,,0.0,0.0,1.216143384,2023-07-17 06:00
1093236,ACTIVE,,0.0,0.0,1.216143384,2023-07-17 06:00
1033687,ACTIVE,2.24,0.0,0.0,1.216142939,2023-07-17 12:00
29166,ACTIVE,1.81,0.0,0.0,1.216142939,2023-07-17 12:00
6266193,ACTIVE,2.12,0.0,0.0,1.216142999,2023-07-17 12:00
50291,ACTIVE,1.94,0.0,0.0,1.216142999,2023-07-17 12:00
29162,ACTIVE,1.88,0.0,0.0,1.216143061,2023-07-17 12:00
29163,ACTIVE,2.12,0.0,0.0,1.216143061,2023-07-17 12:00
